Modulator	TF	significantTriplets	pvalue
Abca7	Psmc3ip	232	0.0
Abca7	Tcf3	174	1.2423791595495004E-7
Abca7	Tgif1	177	3.3146764555347374E-8
Abca7	Zfp36l1	232	0.0
Abhd2	Epas1	191	3.6941338876772534E-11
Abhd2	Nfkb1	163	1.0284176798491806E-5
Abhd6	Tcf7	187	2.860919279257246E-10
Abl1	Epas1	245	0.0
Abl1	Nfkb1	239	0.0
Abl1	Tcf3	159	4.3155750089285405E-5
Abl1	Zfp36l1	227	0.0
Ace2	Epas1	323	0.0
Ace2	Tgif1	184	1.2581454766902311E-9
Ackr3	Tcf7	339	0.0
Ackr4	Epas1	157	8.534409825400324E-5
Acsl1	Epas1	193	1.2875478461182865E-11
Actn2	Nfkb1	315	0.0
Actn2	Psmc3ip	196	2.5515145551935348E-12
Actn2	Tcf3	266	0.0
Actn2	Tcf7	395	0.0
Actn2	Tgif1	212	2.220446049250313E-16
Acvr1	Tcf7	698	0.0
Acvr2a	Epas1	215	0.0
Acvr2b	Tcf7	218	0.0
Acvr2b	Tgif1	149	0.0010271846261774575
Acvrl1	Nfkb1	545	0.0
Acvrl1	Tcf3	695	0.0
Acvrl1	Tgif1	149	0.0010271846261774575
Acvrl1	Zfp36l1	176	5.1770141729079455E-8
Ada	Epas1	521	0.0
Ada	Psmc3ip	184	1.2581454766902311E-9
Ada	Tgif1	184	1.2581454766902311E-9
Adam10	Epas1	250	0.0
Adam10	Tcf7	372	0.0
Adam8	Epas1	284	0.0
Adam8	Nfkb1	285	0.0
Adam8	Psmc3ip	207	4.6629367034256575E-15
Adam8	Tcf3	256	0.0
Adam8	Tgif1	451	0.0
Adam8	Zfp36l1	176	5.1770141729079455E-8
Adam9	Nfkb1	384	0.0
Adam9	Tcf3	439	0.0
Adam9	Tcf7	246	0.0
Adam9	Tgif1	169	1.0063224256118275E-6
Adam9	Zfp36l1	227	0.0
Adap2	Epas1	215	0.0
Adap2	Nfkb1	389	0.0
Adap2	Tcf3	703	0.0
Adap2	Zfp36l1	215	0.0
Adcy1	Nfkb1	827	0.0
Adcy1	Tcf3	514	0.0
Adcy1	Zfp36l1	200	2.751132655021138E-13
