GeneID	Symbol	NES	p-value	FDR	Bonferroni
330814	Adgrl1	11.98	4.39e-33	3.84e-30	3.84e-30
14800	Gria2	11.49	1.42e-30	6.21e-28	1.24e-27
14704	Gng3	10.32	5.96e-25	1.73e-22	5.2e-22
210933	Adgrb3	9.67	3.97e-22	8.66e-20	3.46e-19
20187	Ryk	-9.53	1.56e-21	2.73e-19	1.36e-18
14406	Gabrg2	9.12	7.65e-20	1.11e-17	6.67e-17
235402	Lingo1	9.07	1.19e-19	1.49e-17	1.04e-16
14799	Gria1	8.67	4.51e-18	4.92e-16	3.94e-15
14400	Gabrb1	8.3	1.01e-16	9.81e-15	0.0000000000000883
19762	Rit2	8.25	1.57e-16	0.0000000000000137	0.000000000000137
208666	Diras1	8.08	6.41e-16	0.0000000000000509	0.00000000000056
67252	Cap2	7.85	4.09e-15	0.000000000000297	0.00000000000357
19275	Ptprn	7.81	5.69e-15	0.000000000000382	0.00000000000497
53623	Gria3	7.73	0.0000000000000109	0.000000000000652	0.0000000000095
105782	Scrib	-7.72	0.0000000000000112	0.000000000000652	0.00000000000978
94185	Tnfrsf21	7.54	0.0000000000000453	0.00000000000244	0.0000000000395
56527	Mast1	7.54	0.0000000000000475	0.00000000000244	0.0000000000414
52882	Rgs7bp	7.45	0.0000000000000928	0.0000000000045	0.000000000081
14702	Gng2	7.3	0.000000000000279	0.0000000000127	0.000000000244
66105	Ube2d3	-7.3	0.000000000000292	0.0000000000127	0.000000000255
104418	Dgkz	7.24	0.000000000000452	0.0000000000188	0.000000000394
67790	Rab39b	7.19	0.000000000000627	0.0000000000249	0.000000000548
11854	Rhod	-7.19	0.000000000000655	0.0000000000249	0.000000000572
56461	Kcnip3	7.17	0.000000000000732	0.0000000000261	0.000000000639
16440	Itpr3	-7.17	0.000000000000755	0.0000000000261	0.000000000659
14432	Gap43	7.17	0.000000000000776	0.0000000000261	0.000000000678
20312	Cx3cl1	7.08	0.00000000000141	0.0000000000455	0.00000000123
53972	Ngef	7.03	0.00000000000203	0.0000000000632	0.00000000177
19268	Ptprf	6.97	0.00000000000308	0.0000000000928	0.00000000269
18212	Ntrk2	6.92	0.00000000000439	0.000000000128	0.00000000383
16443	Itsn1	6.83	0.00000000000828	0.000000000233	0.00000000723
16981	Lrrn3	6.82	0.00000000000927	0.000000000253	0.00000000809
14451	Gas1	-6.74	0.0000000000157	0.000000000415	0.0000000137
53599	Cd164	-6.71	0.000000000019	0.000000000487	0.0000000166
52389	Adgra1	6.63	0.0000000000344	0.000000000858	0.00000003
12558	Cdh2	6.53	0.000000000066	0.0000000016	0.0000000576
70839	P2ry12	6.47	0.0000000000969	0.00000000229	0.0000000846
14299	Ncs1	6.46	0.000000000106	0.00000000245	0.0000000929
245684	Cnksr2	6.42	0.000000000137	0.00000000306	0.000000119
15200	Hbegf	-6.41	0.000000000141	0.00000000308	0.000000123
14768	Lancl1	6.4	0.000000000151	0.00000000322	0.000000132
80837	Rhoj	-6.37	0.000000000191	0.00000000397	0.000000167
66797	Cntnap2	6.3	0.0000000003	0.00000000609	0.000000262
14658	Glrb	6.29	0.000000000318	0.00000000631	0.000000278
14395	Gabra2	6.18	0.000000000627	0.0000000122	0.000000547
56533	Rgs17	6.13	0.000000000861	0.0000000163	0.000000751
52666	Arhgef25	6.11	0.000000000975	0.0000000181	0.000000851
