geneid,protid,entrezid
Hprt,P27605,15452
Timp2,P30121,21858
Pgam1,P25113,18648
Pkm,P11980,18746
Nov,Q9QZQ5,18133
Fn1,P04937,14268
Ccl2,P14844,19035
Glo1,Q6P7Q4,19326
Pebp1,P31044,14784
Lcn2,P30152,21991
Ppib,P24368,11757
Rab11b,O35509,11504
Grb2,P62994,18810
Tpi1,P48500,21345
Prdx3,Q9Z0V6,56409
Adamts1,Q9WUQ1,13010
Plec,P30427,12631
Tagln,P31232,19156
Nudt3,Q566C7,16011
Cst3,P14841,16854
Cfl1,P45592,17313
Psap,P10960,16008
Igfbp5,P24594,12558
Lgals3,P08699,20200
Mgp,P08494,14825
Igfbp2,P12843,20302
Cdh2,Q9Z1Y3,17319
S100a6,P05964,14489
Cxcl1,P14095,13202
Ccl3,P50229,12010
Mif,P30904,20311
Mtpn,P62775,16852
Ddt,P80254,18611
B2m,P07151,20655
Cxcl5,P97885,19659
Lgals1,P11762,18102
Pea15a,Q5U318,18103
Sod1,P07632,58809
Rbp1,P02696,17110
Nme1,Q05982,16000
Nme2,P19804,93765
Rnase4,O55004,268373
Lyz1,P00697,11431
Igf1,P08025,66073
Ube2n,Q9EQX9,12785
Ppia,P10111,67938
Acp1,P41498,57320
Txndc12,Q498E0,74840
Cnbp,P62634,54683
Myl12b,P18666,235312
Park7,O88767,22223
Manf,P0C5H9,11758
Prdx5,Q9R063,232157
C1qtnf5,Q5FVH0,20656
Uchl1,Q00981,20333
Prdx6,O35244,17035
Mob1a,Q3T1J9,14860
Sod2,P07895,14863
Sec22b,Q4KM74,104444
Lxn,Q64361,20657
Gsta4,P14942,13589
Gstm2,P08010,102644
Rexo2,Q5U1X1,15368
Sod3,Q08420,22004
Mapre1,Q66HR2,12928
Oaf,Q6AYE5,11593
Hmox1,P06762,14219
Tpm2,P58775,15439
Crk,Q63768,98758
Aga,P30919,14580
Ctgf,Q9R1E9,15387
Hp,P06866,14827
Hnrnpf,Q794E4,213827
Gfap,P47819,11820
Hnrnpk,P61980,14387
Pdia3,P11598,16997
Arcn1,Q66H80,268977
App,P08592,12140
Gaa,Q6P7A9,NA
Ltbp2,O35806,NA
Ltbp1,Q00918,NA
Fabp7,P55051,NA
