rat_entrez_id,mouse_entrez_id
26193,17716
108349419,NA
108349419,NA
26202,17721
24186,11657
100911130,21855
100911130,21855
404878,NA
24296,13076
288475,53324
100910858,258820
100910858,258820
100910858,258820
102552055,654812
295852,258820
295852,258820
295852,258820
306617,74901
102552669,67663
315843,83946
294203,258470
100910772,12865
100910772,12865
260320,14068
100158223,330301
681849,69642
306868,17828
315435,55991
366102,258587
103690355,NA
103690355,NA
103690355,NA
310552,20319
298425,230648
499518,76041
688737,229323
307429,240283
500475,214106
24534,16832
299762,278279
361954,72789
689072,669149
689072,22301
366104,258762
367083,102580
404958,257734
192271,238405
192271,238406
171108,140795
171108,320463
108349419,434459
108349419,NA
688968,70601
29186,12512
316482,83691
498690,13024
498690,NA
498690,NA
498690,13025
302819,75404
299258,27277
404835,258768
100911456,28010
26295,108155
684050,76477
500995,68721
679217,14319
680080,68512
680080,666377
84392,16568
103694600,382133
103694600,108168660
108353386,382133
108353386,108168660
366478,230801
679713,78783
686611,56306
287310,100502887
287310,258879
287310,259148
287310,258495
287310,258198
287310,258261
365176,67109
292328,68618
317224,333564
681210,66931
25690,11622
362081,30839
362489,12395
103690254,22074
103690254,103964
103690254,436522
246219,387353
294339,54387
309858,140740
360800,67902
100362255,110789
405022,258483
360921,52822
315523,235134
100190895,621852
100190895,546294
100190895,434758
298071,94181
103694731,382133
103694731,108168660
297065,101095
685912,20754
361274,53893
60563,15460
288058,70757
499770,227695
499520,77803
294715,52882
63879,11798
314788,68281
302995,68977
689072,625068
689072,623734
689072,625109
306792,13610
309387,83674
287961,12544
688555,66795
313521,242642
691813,232889
363143,14685
291530,381175
362653,76701
680045,434439
289831,NA
289831,17846
300944,24127
362736,207304
103690054,69920
103690054,69920
366791,19682
408031,258325
408031,545205
108349419,100041874
108349419,108168176
108349419,100040657
108349419,100040671
108349419,100040697
108349419,320333
108349419,544990
315447,66917
170933,68592
362826,16467
288181,71223
29301,15109
360985,103765
103694878,14872
364952,93960
361453,66757
103694731,100039810
103694731,100861743
103694731,100862360
103694731,108168596
103694731,100040022
103694731,100041550
103694731,NA
103694731,665276
103694731,100039014
103694731,100039014
103694731,100040223
103694731,20611
103694731,100042337
103694731,100039034
103694731,100040335
103694731,100862345
641452,56550
313922,75302
498425,22183
499022,19317
84478,22230
683674,231868
297799,27395
290541,71704
498115,102638083
292129,83561
498331,19249
305452,231128
362580,73332
81008,16404
301033,74249
317183,279653
287331,216783
287331,258493
287331,258494
287331,258064
295869,258025
498934,78651
498934,78651
103690280,216783
103690280,258493
103690280,258494
103690280,258064
103690280,216783
103690280,258493
103690280,258494
103690280,258064
314442,22375
288375,170786
297455,67678
291699,170459
498491,239081
103690165,210554
363139,114602
287349,258529
287349,258065
287349,258530
25425,13036
363455,83453
291171,19720
405352,258914
689072,625131
500442,68922
29485,11989
100364002,19202
100364002,104384
25229,12669
100361657,100312987
