uniprotswissprot;entrezgene_id;symbol
P03886;4535;MT-ND1
P03891;4536;MT-ND2
P00395;4512;MT-CO1
P00403;4513;MT-CO2
P03928;4509;MT-ATP8
P00846;4508;MT-ATP6
P00414;4514;MT-CO3
P03897;4537;MT-ND3
P03901;4539;MT-ND4L
P03905;4538;MT-ND4
P03915;4540;MT-ND5
P03923;4541;MT-ND6
P00156;4519;MT-CYB
Q8NGB4;256148;OR4S1
Q8NDY8;339456;TMEM52
Q13794;5366;PMAIP1
P12980;4066;LYL1
Q96CM4;115861;NXNL1
Q6UE05;135886;TMEM270
Q6ZNG1;162966;ZNF600
Q9P1W9;11040;PIM2
A6NGB7;100130519;TMEM221
Q86W26;338322;NLRP10
Q86SK9;79966;SCD5
Q14512;9982;FGFBP1
Q8NH54;390083;OR56A3
O14598;9084;VCY
O14598;353513;VCY
Q9H4I9;91689;SMDT1
Q8NGB2;79346;OR4C5
Q9HCI6;57691;KIAA1586
Q8NH37;256144;OR4C3
Q9UNA0;11096;ADAMTS5
P0C7T3;390084;OR56A5
Q9BX46;221662;RBM24
Q8NGH7;338751;OR52L1
Q8IZ73;27079;RPUSD2
C9JCN9;440498;HSBP1L1
P41218;4332;MNDA
Q9NRD1;26270;FBXO6
Q86Y78;130574;LYPD6
Q96D15;57333;RCN3
Q8TF45;147686;ZNF418
O15520;2255;FGF10
Q96PZ2;63901;FAM111A
P21397;4128;MAOA
P83876;10907;TXNL4A
Q9NZW5;51678;MPP6
Q6DKI1;285855;RPL7L1
Q8IWP9;25901;CCDC28A
Q8WUZ0;9274;BCL7C
Q8WX94;199713;NLRP7
A0A096LPI5;100507462;GVQW2
Q9Y2P7;10172;ZNF256
P11474;2101;ESRRA
Q5JXM2;728464;METTL24
Q9Y6P5;27244;SESN1
Q96IK1;91272;BOD1
Q86XK7;340547;VSIG1
P43630;3812;KIR3DL2
Q15465;6469;SHH
P47813;1964;EIF1AX
P35251;5981;RFC1
Q8N4C9;284099;C17orf78
Q9Y291;51650;MRPS33
A0A0A6YYL3;100996331;POTEB
P78396;8900;CCNA1
Q2KHN1;146310;RNF151
Q8N957;162282;ANKFN1
P43630;3812;KIR3DL2
Q9UI30;51504;TRMT112
P20719;3202;HOXA5
O00591;2568;GABRP
A2A288;340152;ZC3H12D
O60508;51362;CDC40
Q9NVP4;55184;DZANK1
Q6UW88;255324;EPGN
P26640;7407;VARS
P43268;2118;ETV4
Q9UHB7;27125;AFF4
Q96G46;56931;DUS3L
Q8WWK9;26586;CKAP2
Q8N1B4;6293;VPS52
P30038;8659;ALDH4A1
Q00056;3201;HOXA4
Q07889;6654;SOS1
O95199;1102;RCBTB2
P56556;4700;NDUFA6
Q8NGH8;120793;OR56A4
P31268;3204;HOXA7
Q6P161;116541;MRPL54
P31267;3203;HOXA6
P43403;7535;ZAP70
O94880;9678;PHF14
Q6ZWJ8;375616;KCP
Q08629;6695;SPOCK1
P57088;55161;TMEM33
Q8NGH5;120796;OR56A1
O00303;8665;EIF3F
Q8IZ63;163154;PRR22
Q9H0Q0;81553;FAM49A
O15169;8312;AXIN1
P51810;4935;GPR143
P0C0L5;721;C4B
Q13454;7991;TUSC3
O14734;10005;ACOT8
O43365;3200;HOXA3
P05156;3426;CFI
Q16864;9296;ATP6V1F
Q5VVJ2;114803;MYSM1
A0A1B0GUX0;100130705;ATP6V1FNB
Q9BZM1;81579;PLA2G12A
Q9NQP4;5203;PFDN4
Q92796;1741;DLG3
Q8NEA5;147685;C19orf18
P62312;11157;LSM6
Q6IF82;403253;OR4A47
Q8TF50;116115;ZNF526
P12829;4635;MYL4
P39019;6223;RPS19
Q03013;2948;GSTM4
Q969T3;90203;SNX21
P41567;10209;EIF1
P62316;6633;SNRPD2
Q14562;1659;DHX8
Q5I0X4;441150;C6orf226
H3BS89;100507421;TMEM178B
Q13445;11018;TMED1
Q8WUD1;84932;RAB2B
O60306;9716;AQR
Q9C0I1;54545;MTMR12
P43628;3804;KIR2DL3
Q13620;8450;CUL4B
P06340;3111;HLA-DOA
P06400;5925;RB1
Q9NXS2;54814;QPCTL
Q9BW91;53343;NUDT9
O60907;6907;TBL1X
O43147;9905;SGSM2
Q9BQI5;84251;SGIP1
Q96DB2;79885;HDAC11
Q96IS3;84839;RAX2
Q9P0X4;8911;CACNA1I
P01350;2520;GAST
O94842;9878;TOX4
P43626;3802;KIR2DL1
P43626;112267881;KIR2DL1
Q96P63;89777;SERPINB12
Q569H4;51334;PRR16
P01906;3117;HLA-DQA2
P01906;3118;HLA-DQA2
P43657;10161;LPAR6
Q9NYH9;55813;UTP6
Q99941;1388;ATF6B
Q9UMR5;9374;PPT2
Q9UK53;3621;ING1
P05538;3120;HLA-DQB2
Q9BX82;57573;ZNF471
P11912;973;CD79A
Q2NL82;55720;TSR1
Q8TDM6;9231;DLG5
Q9P2Y5;7405;UVRAG
Q3SXM0;285429;DCAF4L1
P35557;2645;GCK
Q8WXK1;142685;ASB15
Q56UN5;80122;MAP3K19
Q14315;2318;FLNC
O75078;4185;ADAM11
Q92889;2072;ERCC4
P30044;25824;PRDX5
Q86U44;56339;METTL3
Q5TC12;64756;ATPAF1
Q15560;6919;TCEA2
P43628;3804;KIR2DL3
Q6ISU1;171558;PTCRA
Q99946;80863;PRRT1
Q8TD33;147199;SCGB1C1
Q9GZT4;63826;SRR
O14598;9084;VCY1B
O14598;353513;VCY1B
P28676;25801;GCA
Q8TDX6;55790;CSGALNACT1
