Modulator,TF,pvalue
Tgfbr2,Nfkb1,6.525918846081176e-7
Ptprn,Nfkb1,6.863780992899205e-7
Treml1,Nfkb1,1.3234067925834998e-6
Grik3,Nfkb1,4.026265800684494e-6
Il31ra,Nfkb1,1.1969881802063531e-5
Itgb1,Nfkb1,2.173502931121746e-5
Csf1,Nfkb1,2.4679081285417947e-5
Itgb5,Nfkb1,2.8744493354165454e-5
Apbb1ip,Nfkb1,3.4783505032371184e-5
P2rx4,Nfkb1,3.4783505032371184e-5
Nod1,Nfkb1,4.660626046059338e-5
G3bp1,Nfkb1,6.489573395876416e-5
Adgrl1,Nfkb1,7.278069599889184e-5
Adrb1,Nfkb1,7.278069599889184e-5
Slc7a1,Nfkb1,7.658702047939925e-5
Cd48,Nfkb1,7.957226127479633e-5
Mark2,Nfkb1,9.155233454300245e-5
Kcnk2,Nfkb1,1.0945315130190385e-4
Rhoq,Nfkb1,1.166645729492959e-4
Rasgrp1,Nfkb1,1.626047822462277e-4
Lingo1,Nfkb1,1.8477296653993927e-4
Cyth3,Nfkb1,2.0207276306594095e-4
Rab18,Nfkb1,2.3260291430975662e-4
Anxa1,Nfkb1,2.3863228257260243e-4
Rab29,Nfkb1,2.511658990296706e-4
Ager,Nfkb1,2.544012589042016e-4
Osmr,Nfkb1,2.64360596136149e-4
Kitl,Nfkb1,3.08271124548174e-4
Gp6,Nfkb1,3.122454498335812e-4
Ephb3,Nfkb1,3.459498973181503e-4
Pdgfra,Nfkb1,3.784267652150678e-4
Prkca,Nfkb1,4.139672182724076e-4
Pdgfrb,Nfkb1,4.6463473037824005e-4
Tnfsf13b,Nfkb1,4.7063591262578057e-4
Adgra3,Nfkb1,4.891108004612004e-4
Acvrl1,Nfkb1,5.083144721013923e-4
Grik2,Nfkb1,5.215360362437903e-4
Ryk,Nfkb1,6.405443741985497e-4
Rasl10a,Nfkb1,7.57085491825243e-4
Glrb,Nfkb1,7.970669436601386e-4
Tnfsf12,Nfkb1,8.178469405227353e-4
Rgs14,Nfkb1,8.835132407260735e-4
Rap1a,Nfkb1,0.0010311885921831748
Mas1,Nfkb1,0.001099826697777016
Gab2,Nfkb1,0.00117306189242594
Olfr1444,Nfkb1,0.0011882875288534115
Itsn1,Nfkb1,0.001442059735073322
Rhod,Nfkb1,0.0017057658897075023
Itgb2,Nfkb1,0.0017504409355725804
Akt1,Nfkb1,0.0017732182914327323
Cdh13,Nfkb1,0.001941239337188506
Rras,Nfkb1,0.0020979672294839454
Cap2,Nfkb1,0.0021529931146364503
Cd3e,Nfkb1,0.002238269744784026
Arhgap17,Nfkb1,0.0022674448180610247
Rab11a,Nfkb1,0.002482685140775277
Itk,Nfkb1,0.0025811244743949176
Inpp5d,Nfkb1,0.0026834973715489548
Itpr3,Nfkb1,0.0027185230561259707
Furin,Nfkb1,0.0027540094323145
C5ar2,Nfkb1,0.002826388824333001
Grasp,Nfkb1,0.003095155564970003
Lpar6,Nfkb1,0.0032601560996644735
Adap2,Nfkb1,0.0038103388528553206
Aplp2,Nfkb1,0.003860213785785164
Rras2,Nfkb1,0.003860213785785164
Adam9,Nfkb1,0.004066386836136033
Rab40b,Nfkb1,0.004119643296471969
Grm5,Nfkb1,0.004173603411017845
Gabrb1,Nfkb1,0.00439667046320261
Bcl10,Nfkb1,0.004754039576458592
Rab3d,Nfkb1,0.00487956519224678
Gria3,Nfkb1,0.004943577107522374
Bmpr2,Nfkb1,0.005008436661230353
Traf4,Nfkb1,0.005008436661230353
Gabra4,Nfkb1,0.005706231256310284
Gabre,Nfkb1,0.005781200174597053
Pdpk1,Nfkb1,0.005781200174597053
Tbxa2r,Nfkb1,0.006171236324573037
Rhoc,Nfkb1,0.006417909580706388
P2ry12,Nfkb1,0.0068513760614204965
Rab3b,Nfkb1,0.0073144457391298694
Rab39b,Nfkb1,0.00760734508111694
Rab9,Nfkb1,0.00760734508111694
Arhgap10,Nfkb1,0.007707590406010233
Spn,Nfkb1,0.00801641248137903
Gpr12,Nfkb1,0.008447733681784239
Gem,Nfkb1,0.008902538844475213
Fcgr2b,Nfkb1,0.009020060229811994
Gabrr2,Nfkb1,0.009139151247675018
Hbegf,Nfkb1,0.009382127689679911
Hrh3,Nfkb1,0.009887873559735154
Adcy2,Nfkb1,0.01055905793256093
Arrb1,Nfkb1,0.01098372399873321
Rhoh,Nfkb1,0.01098372399873321
Sdcbp,Nfkb1,0.011425692502306115
Rrad,Nfkb1,0.011730303882607138
Unc5b,Nfkb1,0.012364438748654404
Rgs19,Nfkb1,0.012694421425735644
Trpv4,Nfkb1,0.012862745216978465
Itgam,Nfkb1,0.01303333123901564
Cx3cl1,Nfkb1,0.014483270770958095
Gabra3,Nfkb1,0.014675664749551709
Rasd2,Nfkb1,0.014675664749551709
Ghr,Nfkb1,0.015068265720079221
Mast1,Nfkb1,0.015068265720079221
Cd79b,Nfkb1,0.015471524177829401
Gabrr1,Nfkb1,0.017426193603352947
Chrna6,Nfkb1,0.017658316617914765
Gnaz,Nfkb1,0.017658316617914765
Rgs20,Nfkb1,0.017658316617914765
Sipa1l1,Nfkb1,0.017658316617914765
C3ar1,Nfkb1,0.017893579797788856
Fgfr1,Nfkb1,0.018132026568299767
Dnm2,Nfkb1,0.018373700974908102
Dok3,Nfkb1,0.019373578100669434
Oprl1,Nfkb1,0.019373578100669434
Sri,Nfkb1,0.01989407482799938
Cd14,Nfkb1,0.02097811747870765
Itpr1,Nfkb1,0.02097811747870765
Fzd5,Nfkb1,0.021542470303158683
Avpr1a,Nfkb1,0.02271794474552578
Ifnar2,Nfkb1,0.02271794474552578
Cd274,Nfkb1,0.023329945626127533
Diras1,Nfkb1,0.023642210623603856
Nfam1,Nfkb1,0.02427956281802972
Chrna4,Nfkb1,0.02460476980826354
Bdkrb2,Nfkb1,0.025268551614133977
Rac1,Nfkb1,0.025268551614133977
Unc5a,Nfkb1,0.025268551614133977
Gria1,Nfkb1,0.026651357135510017
Chrng,Nfkb1,0.027008946967568958
Homer2,Nfkb1,0.02773886353501972
