p1,p2,pvalue
P46108,Q86X27,0.013549533540648601
P05067,Q8NFM4,0.09193444888691446
P61769,P48167,0.02712374747026013
Q14767,P25942,0.0077249617453971076
P01034,P09958,0.0026901623969593762
P48444,P20338,0.012340194481465028
P05019,Q8NI17,0.003159089787255047
P01034,O15530,0.005553087516659262
P00441,P36897,0.025124635964262797
P46108,Q14449,0.05545683399970384
P05019,Q15465,0.0273458709709265
P05067,Q9BX66,0.10304062392023298
P05067,P48960,0.15718939730490153
P05067,P61073,0.09205785083172911
P46108,P25116,0.04173453773631473
P61769,P42702,0.020262599338565574
P05067,O43603,0.05251986771311516
P05067,P07948,0.08122316007700281
P23528,P11233,0.011945308258058148
P01034,P19438,0.01774519966434671
P05067,P49810,0.0015795448936275235
P05067,Q16512,0.08038402685226319
P05067,Q7L591,0.09097191371736019
P61769,P36897,0.06631620514339306
P05067,O14522,0.09573522878720568
P19022,Q14573,0.00918110469420998
P05067,O60266,0.10207808875067871
P05067,O95716,0.016264376326570906
P46108,Q96DA2,0.026284614245520508
P46108,P63146,0.03396021521299176
P05019,Q92835,0.013919739375092551
P46108,P16234,0.003208450565180907
P09601,P25116,0.013746976652352041
P46108,O60260,0.03045559998025569
P05067,Q99500,0.09378547805913422
P05067,P41597,0.08724517498395774
P05067,P08134,0.17648946147391284
P46108,P06213,0.0024433585073300756
P05067,P07510,0.07991509946196752
P29279,Q13563,0.00849005380324794
P46108,Q13283,0.011106175033318524
P05019,Q13418,0.00883557924872896
P05067,P18825,0.0692284910410188
P46108,P37173,0.055752998667258996
P19022,Q05586,5.429685571844612e-4
P61769,P04216,0.00444247001332741
P01034,P08887,0.0015055037267387335
P05067,P15692,0.02741991213781529
P05067,Q92930,0.014536749099165802
P05067,Q86YM7,0.028629251196998863
P61978,P62491,0.02650673774618688
P46108,P32004,0.03558912088454514
P61769,P51151,0.028086282639814403
P05067,P47869,0.045658719581420606
P05067,Q9H4E5,0.08295078730440791
P09382,P63000,0.00436842884643862
P05067,P51160,0.06868552248383435
P05067,P32249,0.13223752406337924
P19022,Q9Y6N7,0.00871217730391431
P24593,P17301,0.010489165309245273
Q99497,O60260,0.0010612567254059924
P61769,P47870,0.029591786366553137
P61769,P15391,0.011155535811244385
P46108,Q15286,0.009798114418283233
P09601,Q07954,0.006787106964805765
P10147,P10747,4.44247001332741e-4
P09601,P08887,0.006392220741398885
P23528,P61106,0.01769583888642085
P46108,P61006,0.011180216200207316
P05067,P02708,0.03366405054543659
P09382,Q9HAV5,0.006071375684880794
P61769,Q9BX66,0.04225282590453625
P05067,P98161,0.059701860901327806
P05067,P25445,0.08134656202181746
P61769,P15692,0.005898612962140283
P05067,P37173,0.0024680388962930056
P61769,P31785,0.006342859963473025
P62633,P62834,0.0046152327360679205
P30101,Q9UIW2,8.638136137025519e-4
P05067,Q13003,0.05950441778962436
P61769,Q9HAV5,0.02127449528604571
P05067,P29323,0.04020435362061306
P01034,P06239,0.014635470655017522
P05067,P50052,0.12979416555604917
P61978,Q9NSB8,0.01818944666567945
P61769,Q9UN19,0.028185004195666125
P05067,Q06187,9.378547805913421e-4
P05067,Q86YS6,0.009551310528653932
P46108,Q86WV1,0.014043141319907202
P46108,Q96S21,0.014709511821906314
P61769,P21860,0.0026408016190335158
P05067,P06241,0.0328495977096599
P19022,P20339,0.023890616516116295
P05067,O60391,0.046695295917863665
P05067,P30874,0.04363492768646034
Q14767,P46934,0.020484722839231945
P05067,P48023,0.06293499185547165
P05067,Q05586,0.11002517399674219
P23528,P17301,0.020632805173009527
P46108,Q7Z6J4,0.028629251196998863
P05067,O00254,0.14709511821906313
